country,iso3,hs10,year,tariff_max,tariff_scaled,effective_mdate
"AUSTRIA","AUT",7228703041,2019,.25,.25,2018m6
"AUSTRIA","AUT",7228703081,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7228703081,2019,.25,.25,2018m6
"AUSTRIA","AUT",7228706000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7228706000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7229200090,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7229200090,2019,.25,.25,2018m6
"AUSTRIA","AUT",7229900500,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7229900500,2019,.25,.25,2018m6
"AUSTRIA","AUT",7229905031,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7229905031,2019,.25,.25,2018m6
"AUSTRIA","AUT",7229905051,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7229905051,2019,.25,.25,2018m6
"AUSTRIA","AUT",7229909000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7229909000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7301100000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7301100000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7302101015,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7302101015,2019,.25,.25,2018m6
"AUSTRIA","AUT",7302101045,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7302101045,2019,.25,.25,2018m6
"AUSTRIA","AUT",7302105020,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7302105020,2019,.25,.25,2018m6
"AUSTRIA","AUT",7302105060,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7302105060,2019,.25,.25,2018m6
"AUSTRIA","AUT",7304110020,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7304110020,2019,.25,.25,2018m6
"AUSTRIA","AUT",7304110050,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7304110050,2019,.25,.25,2018m6
"AUSTRIA","AUT",7304191020,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7304191020,2019,.25,.25,2018m6
"AUSTRIA","AUT",7304191030,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7304191030,2019,.25,.25,2018m6
"AUSTRIA","AUT",7304191045,2018,.25,.1458333,2018m6
