hs8,country,tariff,effective_date
"38089311","china",.1,24sep2018
"38089319","china",.05,24sep2018
"38089391","china",.05,24sep2018
"38089399","china",.05,24sep2018
"38089400","china",.05,24sep2018
"38089990","china",.05,24sep2018
"38091000","china",.1,24sep2018
"38099100","china",.1,24sep2018
"38099200","china",.05,24sep2018
"38099300","china",.1,24sep2018
"38101000","china",.1,24sep2018
"38109000","china",.05,24sep2018
"38111900","china",.05,24sep2018
"38112100","china",.05,24sep2018
"38119000","china",.05,24sep2018
"38121000","china",.1,24sep2018
"38122000","china",.05,24sep2018
"38123100","china",.1,24sep2018
"38123910","china",.05,24sep2018
"38123990","china",.05,24sep2018
"38130010","china",.05,24sep2018
"38130020","china",.05,24sep2018
"38140000","china",.05,24sep2018
"38151100","china",.05,24sep2018
"38160000","china",.05,24sep2018
"38170000","china",.1,24sep2018
"38180011","china",.05,24sep2018
"38180019","china",.1,24sep2018
"38180090","china",.1,24sep2018
"38190000","china",.05,24sep2018
"38200000","china",.05,24sep2018
"38210000","china",.05,24sep2018
"38231100","china",.1,24sep2018
"38231200","china",.1,24sep2018
"38231300","china",.05,24sep2018
"38231900","china",.1,24sep2018
"38237000","china",.1,24sep2018
"38241000","china",.05,24sep2018
"38243000","china",.05,24sep2018
"38244010","china",.1,24sep2018
"38244090","china",.05,24sep2018
"38245000","china",.1,24sep2018
"38246000","china",.05,24sep2018
"38247100","china",.05,24sep2018
"38247500","china",.05,24sep2018
"38247600","china",.1,24sep2018
"38247800","china",.1,24sep2018
"38247900","china",.1,24sep2018
"38248100","china",.1,24sep2018
"38249910","china",.05,24sep2018
"38249920","china",.1,24sep2018
"38249991","china",.1,24sep2018
"38259000","china",.1,24sep2018
"38260000","china",.1,24sep2018
"39012000","china",.25,23aug2018
"39013000","china",.25,23aug2018
"39014010","china",.25,23aug2018
"39014020","china",.25,23aug2018
"39019010","china",.25,23aug2018
"39021000","china",.25,23aug2018
"39022000","china",.1,24sep2018
"39023010","china",.25,23aug2018
"39023090","china",.25,23aug2018
"39029000","china",.05,24sep2018
"39031100","china",.05,24sep2018
"39031910","china",.1,24sep2018
"39031990","china",.1,24sep2018
"39032000","china",.1,24sep2018
"39033010","china",.1,24sep2018
"39033090","china",.1,24sep2018
"39039000","china",.05,24sep2018
"39041000","turkey",.32,21jun2018
"39041010","china",.1,24sep2018
"39042100","china",.05,24sep2018
"39042200","china",.05,24sep2018
"39043000","china",.1,24sep2018
"39044000","china",.1,24sep2018
"39045000","china",.1,24sep2018
"39046100","china",.05,24sep2018
"39046900","china",.05,24sep2018
"39049000","china",.05,24sep2018
"39051200","china",.05,24sep2018
"39051900","china",.1,24sep2018
"39052100","china",.1,24sep2018
"39052900","china",.1,24sep2018
"39053000","china",.1,24sep2018
"39059100","china",.05,24sep2018
"39059900","china",.05,24sep2018
"39061000","china",.1,24sep2018
"39069010","china",.1,24sep2018
"39071010","china",.1,24sep2018
"39071090","china",.1,24sep2018
"39072010","china",.1,24sep2018
"39075000","china",.1,24sep2018
"39076110","china",.1,24sep2018
"39076190","china",.1,24sep2018
"39076910","china",.05,24sep2018
"39076990","china",.1,24sep2018
"39077000","china",.05,24sep2018
"39079100","china",.1,24sep2018
"39079910","china",.1,24sep2018
"39079991","china",.05,24sep2018
"39081000","turkey",.1,21jun2018
"39081012","china",.1,24sep2018
"39081019","china",.05,24sep2018
"39081090","china",.1,24sep2018
"39091000","china",.1,24sep2018
"39092000","china",.05,24sep2018
"39093100","china",.1,24sep2018
"39093900","china",.1,24sep2018
"39094000","china",.1,24sep2018
"39095000","china",.1,24sep2018
"39111000","china",.05,24sep2018
"39121200","china",.05,24sep2018
"39122000","china",.1,24sep2018
"39123100","china",.05,24sep2018
"39123900","china",.05,24sep2018
"39129000","china",.05,24sep2018
"39131000","china",.1,24sep2018
"39139000","china",.05,24sep2018
"39140000","china",.05,24sep2018
"39151000","china",.25,23aug2018
"39152000","china",.25,23aug2018
"39153000","china",.25,23aug2018
"39159010","china",.25,23aug2018
"39159090","china",.25,23aug2018
"39161000","china",.1,24sep2018
"39162010","china",.1,24sep2018
"39162090","china",.1,24sep2018
"39169010","china",.1,24sep2018
"39169090","china",.05,24sep2018
"39171000","china",.1,24sep2018
"39172100","china",.1,24sep2018
"39172200","china",.1,24sep2018
"39172300","china",.1,24sep2018
"39172900","china",.05,24sep2018
"39173100","china",.05,24sep2018
"39173200","china",.05,24sep2018
"39173300","china",.05,24sep2018
"39173900","china",.05,24sep2018
"39174000","china",.05,24sep2018
"39181010","china",.05,24sep2018
"39181090","china",.1,24sep2018
"39189010","china",.05,24sep2018
"39189090","china",.05,24sep2018
"39191010","china",.05,24sep2018
"39191091","china",.1,24sep2018
"39191099","china",.05,24sep2018
"39199010","china",.1,24sep2018
"39201010","china",.1,24sep2018
"39202010","china",.05,24sep2018
"39202090","china",.1,24sep2018
"39203000","china",.1,24sep2018
"39204300","china",.1,24sep2018
"39204900","china",.05,24sep2018
"39205100","china",.1,24sep2018
"39205900","china",.1,24sep2018
"39206100","china",.1,24sep2018
"39206300","china",.1,24sep2018
"39206900","china",.05,24sep2018
"39207100","china",.05,24sep2018
"39207300","china",.1,24sep2018
"39207900","china",.1,24sep2018
"39209100","china",.1,24sep2018
"39209200","china",.1,24sep2018
"39209300","china",.05,24sep2018
"39209400","china",.1,24sep2018
"39209910","china",.05,24sep2018
"39211100","china",.05,24sep2018
"39211210","china",.1,24sep2018
"39211290","china",.1,24sep2018
"39211310","china",.1,24sep2018
"39211390","china",.05,24sep2018
"39211400","china",.05,24sep2018
"39211910","china",.05,24sep2018
"39211990","china",.05,24sep2018
